信息编号,书名,评论数,推荐比例,作者,出版日期,出版社,评分次数,价格
1,间谍之死(拒绝好莱坞翻拍的年度作品，刺激程度超越《碟中谍》，更...,18512,99.9%,[美]丹·马里兰 著，胡彭/吴晓菲/王一晴 译,2018-08-01,天津人民出版社,15425,"41.00
元"
2,德国极简史,4794,100%,[英]詹姆斯·霍斯,2019-03-01,湖南文艺出版社,3753,"45.50
元"
3,读懂孩子的心：樊登2019年新书.,30815,100%,樊登,2019-03-01,中国友谊出版公司,3992,"46.70
元"
4,脱口而出，妙语连珠：令人终生难忘的即兴演说书（成功与否并不取...,10592,99.9%,安德里·赛德涅夫 著，	廖露梅 Sanying Huang 王禹 译,2016-08-01,天津人民出版社,7568,"33.70
元"
5,魔力四射：如何打动、亲近和影响他人（一本改变人生思维方式的魔...,12682,100%,帕特里克·金 著，宗丹/田坤 译,2016-08-01,天津人民出版社,9712,"24.00
元"
6,"她被给予的人生（当当独家首发 那些没被原生家庭打败的人,都经历...",7487,100%,（美）爱伦·玛丽·怀斯曼 著，儒意欣欣 出品,2019-04-01,中国友谊出版公司,3763,"37.00
元"
7,锁脑：如何瞬间、深度、持久地影响他人,19176,100%,程志良,2018-10-20,机械工业出版社,14851,"50.20
元"
8,当仓央嘉措遇见纳兰容若,11083,99.9%,随园散人,2019-02-20,湖南人民出版社,6768,"30.90
元"
9,找回迷失的自己：从自耗到高效逆转,24033,100%,程志良,2018-08-27,北京大学出版社,15367,"31.90
元"
10,绩效管理与量化考核从入门到精通,6480,100%,任康磊,2019-02-01,人民邮电出版社,5265,"53.20
元"
11,常青藤爸爸对话特级教师书系：每个孩子都能学好语文,25213,100%,李怀源，常青藤爸爸  著，海豚传媒出品,2019-03-01,长江少年儿童出版社,2361,"37.50
元"
12,常青藤爸爸对话特级教师书系：每个孩子都能学好数学,21726,100%,陈凤伟，常青藤爸爸 著，海豚传媒出品,2019-03-01,长江少年儿童出版社,2288,"37.50
元"
13,小小的Python编程故事,2562,99.9%,毛雪涛,2019-01-01,电子工业出版社,2122,"66.20
元"
14,为爱独行（三个北京女孩的真实生活）,6165,100%,姜丹迪,2018-04-01,华文出版社,5770,"38.10
元"
15,做个侃爷：精于闲聊 施展魅力（与任何人滔滔不绝的技巧）,38975,99.8%,帕特里克·金 著，邹鑫/何丹妮 译,2016-08-01,天津人民出版社,26043,"24.00
元"
16,烧烤怪谈（微博大V@鬼叔悬疑烧脑小说集）,9848,99.9%,蔡必贵 著，凤凰联动 出品,2019-03-01,江苏凤凰文艺出版社,3858,"32.40
元"
17,林徽因传：人生从来都靠自己成全,25776,100%,程 碧,2019-01-31,河北人民出版社,10290,"46.00
元"
18,短视频：内容设计+营销推广+流量变现,4834,99.9%,向登付,2018-09-01,电子工业出版社,3612,"52.90
元"
19,林清玄清欢三卷（50年散文创作里程碑式代表作）,6488,100%,林清玄  著，新经典  出品,2018-11-01,北京十月文艺出版社,3747,"147.80
元"
20,人生海海（莫言盛赞！董卿、高晓松反复阅读，杨洋、李健倾力推荐...,60081,100%,麦家  著 ，新经典  出品,2019-04-16,北京十月文艺出版社,11425,"52.80
元"
