信息编号,书名,评论数,推荐比例,作者,出版日期,出版社,评分次数,价格
1,精进2：解锁万物的心智进化法（采铜新作！）,8164,100%,采铜 著，凤凰联动 出品,2019-06-01,江苏凤凰文艺出版社,7755,"41.70
元"
2,生命是最好的奢侈品（当当独家，随书赠送个性手帖）,5651,100%,赫文,2019-07-01,台海出版社,5217,"35.70
元"
3,人生海海（莫言盛赞！董卿、高晓松反复阅读，杨洋、李健倾力推荐...,60081,100%,麦家  著 ，新经典  出品,2019-04-16,北京十月文艺出版社,11425,"52.80
元"
4,最初之前（数十万读者共情落泪，当代年轻人的缩影，令人意外的结...,4041,98.3%,张皓宸，果麦文化 出品,2019-05-01,天津人民出版社,3929,"43.80
元"
5,成瘾：如何设计让人上瘾的产品、品牌和观念,34226,99.9%,程志良 著,2017-08-30,机械工业出版社,12891,"39.70
元"
6,淘气小子马克斯（套装共4册）（澳洲版“马小跳”，爆笑治愈的图文...,3295,100%,[澳]马特·斯坦顿，白马时光 出品,2019-05-01,天津人民美术出版社,3293,"115.20
元"
7,白色橄榄树（全二册）（当当专享签名本&阿瓒同款限量红绳随机发货...,7988,100%,玖月晞，白马时光 出品,2019-04-01,百花洲文艺出版社,4779,"59.60
元"
8,有话说出来！（彻底颠覆社会人脉的固有方式，社交电池帮你搞定社...,5057,100%,【美】帕特里克·金 著，张捷/李旭阳 译,2018-08-01,天津人民出版社,4558,"31.50
元"
9,熊镇2：我们对抗你们（吴磊领读书目，里程碑杰作《熊镇》第二季！...,2026,100%,[瑞典]弗雷德里克·巴克曼,2019-06-01,四川文艺出版社,2005,"40.30
元"
10,呐喊——大屠杀回忆录（二战犹太大屠杀幸存者自述——一部震撼人...,18581,100%,曼尼·斯坦伯格 著，张佳敏 余林杰 译,2017-04-01,天津人民出版社,13805,"26.40
元"
11,情深，万象皆深（林清玄50年散文创作代表作“清欢三卷”白金纪念...,5516,100%,林清玄,2018-11-01,北京十月文艺出版社,4430,"49.30
元"
12,谋杀鉴赏（《读者的选择》最佳小说奖、国际推理小说“安东尼”奖...,23543,100%,莉比·菲舍尔·赫尔曼 著 汪德均 王秋菊 李红懿 译,2016-05-01,天津人民出版社,19308,"27.30
元"
13,做个侃爷：精于闲聊 施展魅力（与任何人滔滔不绝的技巧）,38975,99.8%,帕特里克·金 著，邹鑫/何丹妮 译,2016-08-01,天津人民出版社,26043,"24.00
元"
14,锁脑：如何瞬间、深度、持久地影响他人,19176,100%,程志良,2018-10-20,机械工业出版社,14851,"50.20
元"
15,国家地理动物百科：鱼类（上）,1799,100%,西班牙Sol90公司,2019-06-01,山西人民出版社发行部,1706,"61.60
元"
16,国家地理动物百科：鸟类（上）,1789,100%,西班牙Sol90公司,2019-06-01,山西人民出版社发行部,1687,"61.60
元"
17,俏鼠记者冒险系列：第一辑（全5册）（老鼠记者姊妹篇，被翻译成2...,3151,100%,〔意〕菲·斯蒂顿，白马时光 出品,2019-05-01,天津人民美术出版社,2902,"159.20
元"
18,找回迷失的自己：从自耗到高效逆转,24033,100%,程志良,2018-08-27,北京大学出版社,15367,"31.90
元"
19,《另类间谍》（推理小说名家赫尔曼之战争三部曲 展现人性深处的生...,5881,99.9%,"[美] 莉比·菲舍尔·赫尔曼 著 ,汪德均 译",2017-03-01,天津人民出版社,5060,"20.80
元"
20,留美不美,3575,99.9%,姜丹迪,2017-02-14,清华大学出版社,3371,"48.40
元"
