信息编号,书名,评论数,推荐比例,作者,出版日期,出版社,评分次数,价格
1,克隆版大脑（如果你脑子里的一切都被计算机复制，会发生什么事？...,6600,100%,"大卫·沃尔夫 著,陈海滨 李娜 译",2016-05-01,天津人民出版社,5709,"28.00
元"
2,微信公众号运营：实战方法、案例与技巧,6669,99.9%,庐七　著,2017-02-01,电子工业出版社,4544,"41.70
元"
3,成瘾：如何设计让人上瘾的产品、品牌和观念,34226,99.9%,程志良 著,2017-08-30,机械工业出版社,12891,"39.70
元"
4,绩效管理与量化考核从入门到精通,6480,100%,任康磊,2019-02-01,人民邮电出版社,5265,"53.20
元"
5,合伙创业：合作机制+股份分配+风险规避,6553,99.9%,曹海涛,2018-12-07,清华大学出版社,5388,"55.30
元"
6,魔力四射：如何打动、亲近和影响他人（一本改变人生思维方式的魔...,12682,100%,帕特里克·金 著，宗丹/田坤 译,2016-08-01,天津人民出版社,9712,"24.00
元"
7,一千个陌生人的生与死,3798,99.9%,"[美]凯文·哈扎德 著  钱怡羊  译,儒意欣欣 出品",2019-01-01,天津人民出版社,2660,"24.90
元"
8,旋木情缘（《今日美国》畅销书获奖作品中国首发：一座重获新生的...,12494,100%,堂娜·法萨诺 著，杨昱程 王晓毅 陈海滨 译,2017-01-01,天津人民出版社,8878,"27.30
元"
9,找回迷失的自己：从自耗到高效逆转,24033,100%,程志良,2018-08-27,北京大学出版社,15367,"31.90
元"
10,做个侃爷：精于闲聊 施展魅力（与任何人滔滔不绝的技巧）,38975,99.8%,帕特里克·金 著，邹鑫/何丹妮 译,2016-08-01,天津人民出版社,26043,"24.00
元"
11,节日之书：余世存说中国传统节日（余世存2019年重磅新作）,8493,99.8%,余世存 著  老树画画  绘,2019-01-17,北京时代华文书局,3002,"26.50
元"
12,刀尖（套装共2册）,5328,99.9%,麦家,2018-10-01,人民文学出版社,3580,"95.40
元"
13,文案策划：撰写技巧与经典案例,7295,99.9%,张贵泉，张洵瑒  编著,2019-01-01,化学工业出版社,5634,"42.60
元"
14,股权融资：理论、案例、方法一本通,6006,100%,张淼,2017-08-01,电子工业出版社,4836,"38.30
元"
15,锁脑：如何瞬间、深度、持久地影响他人,19176,100%,程志良,2018-10-20,机械工业出版社,14851,"50.20
元"
16,好姑娘的爱情升级手册（当当专享签名本）,2846,100%,辛香兰 著，儒意欣欣 出品,2018-12-01,江苏凤凰文艺出版社,2236,"26.30
元"
17,约翰·克利斯朵夫（完整珍藏版！世上只有一种英雄主义，就是认清...,4398,100%,（法）罗曼·罗兰(Romain Rolland),2019-01-09,海南出版社,1213,"151.30
元"
18,短视频：内容设计+营销推广+流量变现,4834,99.9%,向登付,2018-09-01,电子工业出版社,3612,"52.90
元"
19,秋灯琐忆（与《浮生六记》并列的中国人生活美学典范，古文经典遗...,2606,99.9%,蒋坦，译者：朱隐山，果麦文化 出品,2019-01-01,天津人民出版社,1090,"35.70
元"
20,时光电影院,1187,100%,姚瑶,2019-01-01,四川文艺出版社,1013,"32.40
元"
